,Medal,Event_Count,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Male_Percentage,is_Host?
GBS,0.0,4.9570710313837605,0.0,0.0,0.0,-4.824558165895734e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
GDR,192.0,156.99999532381813,0.0,1.5670534373688947,0.0,-4.82455816589571e-06,7.682148741748316,153.8361939988168,0.0,0.0,22.159473042635142,57.02019497765668,0
GEO,15.999999999999998,34.39537039328847,0.0,0.0,0.0,-4.824558165895734e-06,0.0,15.701892877985745,0.0,0.0,0.0,79.0601370179488,0
GEQ,0.0,2.7276236444009374,0.0,0.0,0.0,-4.824558165895686e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
GER,63.0,232.55591793705187,4.243991582e-314,3.931006786264393,0.0,1.3544121585983067,8.111658790216968,33.04769398585972,12.966816475486869,0.17934786439989958,21.479088389343246,57.06224205130452,0
GHA,0.0,3.6217313380241984,0.0,0.0,0.0,-4.824558165895705e-06,0.0,0.21857964309340383,0.0,0.0,0.049436190806641446,60.45339633009674,0
GRE,11.0,58.56287264205522,0.0,1.4993990616683357,0.0,0.10159760245717792,-3.8061898571125604e-08,9.383772071218024,0.0,0.0,-2.298435889401235,60.62320306732161,0
GRN,2.0,5.16434554734765,0.0,0.0,0.0,-4.824558165895686e-06,0.0,1.7273775164806027,0.0,0.0,0.0,69.34887346968017,0
GUA,3.9999999999999996,16.383357688152557,0.0,0.0,0.0,-4.824558165895714e-06,0.0,1.4896929004692216,0.0,0.0,0.0,64.89739293768862,0
GUI,0.0,5.004515005413002,0.0,0.0,0.0,-4.824558165895697e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
GUM,0.0,8.405960024916382,0.0,0.0,0.0,-4.824558165895698e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
GUY,6.317460331175305e-176,5.927090773587312,0.0,0.0,0.0,-4.824558165895713e-06,0.0,0.052626365036420944,0.0,0.0,0.0,41.93336869405422,0
HAI,0.0,9.983349124044882,0.0,0.0,0.0,-4.824558165895708e-06,0.0,-1.6322237870042461e-99,0.0,0.0,0.0,44.22244414913847,0
HKG,8.0,34.190217967540754,0.0,0.0,0.0,0.11167312580481759,0.9896151548902734,8.007623418208698,1.3133343393015289,0.0,0.39753261121556527,34.624501688319896,0
HON,0.0,4.508453458253978,0.0,0.0,0.0,-4.824558165895697e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
HUN,35.0,119.31691928996325,0.0,4.249370875035809,0.0,0.006344367513026972,0.9931926202869442,21.294576650032365,21.196180828096544,0.0,-1.7262364027677446,56.05639875017377,0
INA,7.0,23.980473982653873,0.0,0.0,0.0,2.1555559082140867,6.00003128650143,3.196296582375138,0.0,0.0,0.0,56.451371694389046,0
IND,7.000000000000001,72.07760134810434,0.0,0.0,0.0,0.22610466834022103,1.025137792083074,5.983073891522427,0.0,0.0,0.10583271070130237,55.64194656395307,0
IOA,4.0,5.994001369479942,0.0,0.0,0.0,-4.824558165895729e-06,0.0,1.9999977664080544,0,0.0,0.0,0.0,0
IRI,24.0,44.36176469763771,0.0,0.0,0.0,4.2819454554552845,2.9711445198950197,13.50936975767897,0.0,0.0,0.0,78.42077253722317,0
IRL,11.0,70.81039047867274,0.0,5.999998322379345,0.0,-4.8245581658957205e-06,0.0,5.28974627937556,0.0,0.0,1.2449744099976763,56.4347639370784,0
IRQ,0.0,4.2860903688551115,0.0,0.0,0.0,-4.824558165895705e-06,0.0,0.0,0.0,0.0,0.0,86.20125545355485,0
ISL,0.0,9.525694621828375,0.0,0.0,0.0,-4.8245581658957205e-06,0.0,0.2608701319195905,0.0,0.0,0.0,52.97656417231434,0
ISR,14.0,72.22862448817202,0.0,3.6570725129682877,0.0,0.0034460836188256114,3.6570725129682877,2.5023198844911905,0.0,0.0,3.828205564050837,53.70432553538151,0
ISV,0.0,4.48574734259151,0.0,0.0,0.0,-4.824558165895688e-06,0.0,0.0,0.0,0.0,-0.11693444781562612,72.82068665055843,0
ITA,69.0,220.43914737645673,0.0,4.4067675255689664,0.0,4.674226672759295,1.130062632056656,40.61051501987579,19.078516014223354,0.0,10.911076286437815,58.298280550828636,0
IVB,0.0,3.7628169304192056,0.0,0.0,0.0,-4.824558165895686e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
JAM,11.0,31.51690064099024,0.0,0.0,0.0,-4.824558165895713e-06,0.0,12.770073518489742,0.0,0.0,0.02113451846219501,38.78288905475383,0
